C0N2 10.05 18.15   0 LiPoLy-Plug JST-PH-2-SMT-RA-ADRASTEA-ANGEPASST
C3 65.30  9.18 270 100nF C0402_IPC
C8 13.95  9.37  90 10pF C0402_IPC
C10 13.95 11.65 270 10pF C0402_IPC
C21 41.80  9.78 270 100nF C0402_IPC
C23 30.66 10.21   0 100nF C0402_IPC
C55 56.31  3.10  90 100nF C0402_IPC
C56 57.75  3.05 180 n.m. C0402_IPC
CON1  6.30  9.95  90 Micro_USB 629105150521
CON3 73.03 11.59 270 693043020611 693043020611
D6 35.50 20.10 180 BAT540402_X1-DFN1006-2 X1-DFN1006-2
IC6  9.45  9.86 180 82400152 WE-TVS_SOT563
IC9 35.74  7.97   0 TXS0108EPWR SOP65P640X120-20N
R10 12.30 11.20 180 10R R0402_IPC
R11 12.34  9.71   0 10R R0402_IPC
R12 31.10 14.09  90 12k R0402_IPC
R16 18.25  4.22 270 n.m. R0402_IPC
R17 20.60  4.22 270 n.m. R0402_IPC
R43 15.16 16.44 270 1k R0402_IPC
TP1 78.43  2.25   0 TP15R TP15R
TP2 73.35  2.25   0 TP15R TP15R
TP3 70.81  4.79   0 TP15R TP15R
TP4 68.27  2.25   0 TP15R TP15R
TP5 65.73  4.79   0 TP15R TP15R
TP6 75.89  4.79   0 TP15R TP15R
TP7  9.50 11.75   0 TP15R TP15R
TP8  9.40  8.00   0 TP15R TP15R
TP9  9.00  5.10   0 TP15R TP15R
TP10 16.80 12.55   0 TP15R TP15R
TP11 16.70  9.47   0 TP15R TP15R
TP12 16.70  6.70   0 TP15R TP15R
